epoch,accuracy,loss
0,0.82491666,0.5020707947691282
1,0.8634667,0.37648813376029333
2,0.87633336,0.33903128235737484
3,0.8853,0.3120450343420108
4,0.8912167,0.2942027959823608
5,0.89703333,0.2802438260018826
6,0.90171665,0.26609224089185396
7,0.9044167,0.2569307236810525
8,0.90853333,0.24703265561958154
9,0.9112333,0.23809611048797766
10,0.91415,0.22833078391849995
11,0.91635,0.22290857577572265
12,0.91875,0.21574271844302614
13,0.9228333,0.20801535807053248
14,0.9234833,0.20349884608089924
15,0.9249667,0.1993115230600039
16,0.92843336,0.19280059578766426
17,0.92946666,0.18586407754545411
18,0.9324,0.18108890031526487
19,0.93236667,0.17820477856695652
20,0.9353667,0.1719781513735652
21,0.9369,0.1678969231300056
22,0.9375167,0.1661644796187679
23,0.93978333,0.1614754720379909
24,0.94156665,0.15633354932616153
25,0.9425833,0.15353170444965364
26,0.94448334,0.14856218788896997
27,0.94485,0.1474308945802351
28,0.94533336,0.14547433218856654
29,0.94768333,0.13969780876524746
